iter	Passed	Remaining
0	15	7843
1	31	7817
2	47	7801
3	63	7855
4	79	7849
5	95	7837
6	103	7277
7	119	7318
8	134	7350
9	137	6726
10	153	6813
11	168	6865
12	184	6902
13	199	6940
14	215	6968
15	231	6997
16	247	7019
17	262	7031
18	278	7041
19	293	7049
20	309	7054
21	324	7059
22	340	7062
23	341	6773
24	357	6784
25	372	6796
26	388	6806
27	404	6811
28	419	6814
29	434	6814
30	450	6820
31	466	6820
32	468	6635
33	484	6641
34	500	6644
35	515	6648
36	531	6651
37	547	6651
38	562	6651
39	578	6647
40	593	6642
41	609	6641
42	624	6640
43	640	6639
44	656	6635
45	671	6629
46	687	6623
47	702	6619
48	705	6492
49	720	6488
50	736	6483
51	752	6479
52	767	6474
53	783	6468
54	798	6462
55	814	6457
56	829	6450
57	838	6389
58	854	6385
59	869	6376
60	885	6370
61	901	6365
62	916	6355
63	932	6350
64	947	6341
65	963	6335
66	978	6325
67	994	6318
68	1010	6308
69	1025	6300
70	1041	6291
71	1056	6282
72	1065	6230
73	1080	6221
74	1096	6212
75	1111	6203
76	1127	6194
77	1143	6186
78	1159	6178
79	1175	6169
80	1190	6160
81	1206	6149
82	1221	6138
83	1237	6127
84	1252	6117
85	1268	6106
86	1284	6095
87	1299	6084
88	1300	6006
89	1316	5997
90	1317	5919
91	1332	5911
92	1348	5902
93	1364	5893
94	1380	5883
95	1395	5874
96	1411	5864
97	1427	5855
98	1442	5843
99	1458	5833
100	1474	5823
101	1489	5812
102	1505	5800
103	1520	5790
104	1536	5779
105	1552	5768
106	1567	5757
107	1583	5745
108	1599	5735
109	1614	5725
110	1630	5714
111	1646	5703
112	1661	5691
113	1678	5682
114	1694	5671
