iter	Passed	Remaining
0	8	8736
1	10	5213
2	11	3887
3	14	3585
4	16	3212
5	18	3145
6	27	3889
7	32	3992
8	40	4495
9	49	4915
10	54	4886
11	62	5168
12	71	5427
13	72	5097
14	77	5063
15	85	5282
16	94	5457
17	102	5616
18	105	5459
19	107	5260
20	115	5407
21	117	5225
22	118	5031
23	127	5178
24	128	5013
25	136	5131
26	141	5106
27	144	5015
28	152	5120
29	161	5220
30	164	5129
31	164	4987
32	173	5089
33	182	5182
34	191	5267
35	191	5136
36	192	5010
37	201	5088
38	202	4997
39	204	4907
40	213	4987
41	221	5058
42	223	4978
43	232	5044
44	232	4944
45	234	4853
46	236	4802
47	245	4864
48	246	4777
49	254	4837
50	263	4895
51	264	4813
52	272	4870
53	281	4926
54	289	4978
55	290	4904
56	299	4952
57	307	5001
58	316	5047
59	325	5093
60	329	5077
61	338	5117
62	340	5070
63	345	5055
64	350	5041
65	355	5026
66	363	5064
67	372	5102
68	380	5138
69	389	5173
70	392	5132
71	395	5093
72	403	5127
73	412	5161
74	414	5109
75	422	5140
76	541	6485
77	564	6672
78	582	6787
79	585	6732
80	587	6668
81	591	6616
82	593	6559
83	604	6595
84	606	6525
85	617	6560
86	626	6578
87	639	6624
88	649	6650
89	658	6657
90	667	6665
91	669	6604
92	677	6610
93	687	6623
94	688	6562
95	697	6567
96	706	6573
97	715	6586
98	724	6592
99	733	6600
100	733	6532
101	734	6469
102	736	6415
103	737	6353
104	746	6359
105	747	6307
106	749	6254
107	758	6262
108	759	6211
109	768	6218
110	777	6225
111	786	6232
112	794	6239
113	803	6245
114	812	6252
115	813	6197
116	821	6201
117	824	6163
118	829	6141
119	838	6146
120	846	6152
121	848	6105
122	857	6112
123	857	6059
124	866	6067
125	875	6071
126	884	6080
127	893	6085
128	901	6088
129	911	6098
130	920	6107
131	930	6116
132	939	6122
133	942	6089
134	947	6070
135	956	6075
136	965	6080
137	974	6085
138	982	6087
139	984	6045
140	992	6048
141	1001	6050
142	1009	6051
143	1018	6054
144	1027	6058
145	1036	6061
146	1044	6062
147	1053	6063
148	1061	6064
149	1070	6065
150	1071	6023
151	1079	6023
152	1080	5984
153	1089	5985
154	1091	5948
155	1099	5950
156	1108	5951
157	1109	5910
158	1117	5911
159	1118	5870
160	1126	5871
161	1129	5842
162	1137	5843
163	1142	5824
164	1143	5788
165	1152	5788
166	1160	5789
167	1162	5756
168	1170	5757
169	1179	5757
170	1180	5720
171	1188	5720
172	1196	5721
173	1205	5722
174	1213	5723
175	1222	5723
176	1230	5723
177	1232	5692
178	1241	5693
179	1249	5693
180	1258	5693
181	1261	5667
182	1269	5667
183	1278	5668
184	1280	5643
185	1289	5643
186	1298	5643
187	1306	5642
188	1311	5626
189	1312	5596
190	1321	5597
191	1329	5596
192	1338	5596
193	1346	5595
194	1355	5596
195	1364	5596
196	1372	5595
197	1381	5594
198	1389	5593
199	1398	5592
200	1406	5592
201	1407	5560
202	1416	5559
203	1424	5558
204	1432	5556
205	1441	5555
206	1449	5553
207	1458	5551
208	1466	5550
209	1475	5549
210	1483	5548
211	1492	5546
212	1500	5545
213	1505	5529
214	1514	5528
215	1515	5499
216	1523	5498
217	1525	5472
218	1534	5471
219	1542	5469
220	1551	5467
221	1559	5465
222	1568	5463
223	1576	5461
224	1585	5459
225	1593	5457
226	1602	5455
227	1606	5440
228	1615	5438
229	1623	5436
230	1632	5433
231	1640	5430
232	1649	5428
233	1657	5426
234	1666	5423
235	1674	5421
236	1683	5419
237	1687	5404
238	1696	5402
239	1705	5399
240	1713	5397
241	1722	5394
242	1730	5391
243	1739	5388
244	1747	5385
245	1756	5382
246	1764	5380
247	1773	5376
248	1774	5351
249	1782	5348
250	1791	5346
251	1796	5332
252	1804	5328
253	1813	5326
254	1821	5323
255	1830	5319
256	1838	5316
257	1847	5313
258	1856	5310
259	1864	5307
260	1873	5304
261	1881	5300
262	1890	5297
263	1890	5271
264	1899	5267
265	1907	5264
266	1916	5260
267	1924	5257
268	1933	5254
269	1942	5251
270	1950	5247
271	1959	5244
272	1967	5240
273	1970	5221
274	1972	5200
275	1980	5196
276	1989	5192
277	1997	5188
278	2006	5185
279	2015	5181
280	2023	5177
281	2031	5173
282	2040	5169
283	2041	5146
284	2042	5122
285	2042	5099
286	2051	5095
287	2053	5077
288	2058	5063
289	2059	5043
290	2068	5039
291	2077	5036
292	2085	5032
293	2094	5029
294	2102	5025
295	2105	5007
296	2107	4987
297	2115	4983
298	2116	4962
299	2125	4958
300	2133	4955
301	2142	4951
302	2150	4947
303	2151	4925
304	2159	4921
305	2168	4917
306	2169	4898
307	2170	4876
308	2171	4855
309	2179	4851
310	2188	4848
311	2189	4829
312	2198	4825
313	2207	4821
314	2215	4817
315	2217	4799
316	2225	4795
317	2226	4775
318	2235	4771
319	2243	4767
320	2252	4763
321	2260	4760
322	2269	4756
323	2277	4752
324	2286	4748
325	2294	4744
326	2296	4726
327	2305	4723
328	2313	4718
329	2322	4715
330	2330	4710
331	2333	4694
332	2341	4690
333	2346	4678
334	2354	4674
335	2363	4670
336	2363	4650
337	2372	4646
338	2380	4642
339	2389	4637
340	2397	4633
341	2398	4614
342	2406	4610
343	2415	4605
344	2433	4620
345	2438	4608
346	2452	4614
347	2460	4610
348	2469	4605
349	2477	4601
350	2485	4596
351	2494	4591
352	2504	4590
353	2513	4586
354	2521	4581
355	2530	4577
356	2538	4572
357	2547	4567
358	2551	4556
359	2552	4538
360	2553	4519
361	2561	4515
362	2570	4510
363	2574	4498
364	2583	4494
365	2591	4489
366	2600	4485
367	2608	4480
368	2617	4475
369	2621	4464
370	2630	4459
371	2638	4454
372	2647	4449
373	2655	4444
374	2663	4439
375	2672	4434
376	2681	4430
377	2683	4415
378	2692	4411
379	2701	4407
380	2710	4404
381	2722	4404
382	2734	4404
383	2743	4401
384	2752	4397
385	2755	4383
386	2756	4366
387	2765	4362
388	2774	4358
389	2783	4353
390	2792	4349
391	2801	4344
392	2801	4327
393	2810	4322
394	2819	4318
395	2828	4313
396	2837	4309
397	2846	4305
398	2855	4300
399	2858	4287
400	2867	4283
401	2869	4267
402	2877	4263
403	2886	4258
404	2887	4242
405	2896	4237
406	2905	4233
407	2914	4228
408	2923	4224
409	2931	4219
410	2940	4214
411	2942	4198
412	2950	4193
413	2953	4180
414	2961	4175
415	2963	4159
416	2971	4154
417	2981	4150
418	2990	4146
419	3000	4143
420	3001	4127
421	3010	4123
422	3019	4118
423	3028	4113
424	3036	4108
425	3045	4103
426	3054	4098
427	3056	4085
428	3061	4075
429	3070	4070
430	3071	4054
431	3079	4049
432	3088	4043
433	3096	4038
434	3099	4025
435	3107	4020
436	3116	4015
437	3125	4010
438	3133	4004
439	3142	3999
440	3151	3994
441	3159	3988
442	3168	3983
443	3176	3978
444	3185	3972
445	3190	3962
446	3198	3957
447	3201	3944
448	3210	3939
449	3218	3934
450	3227	3928
451	3236	3923
452	3245	3918
453	3246	3904
454	3255	3899
455	3258	3886
456	3266	3881
457	3267	3867
458	3268	3852
459	3270	3838
460	3278	3833
461	3286	3827
462	3295	3822
463	3303	3816
464	3312	3811
465	3320	3805
466	3329	3800
467	3338	3794
468	3346	3789
469	3355	3783
470	3363	3777
471	3372	3772
472	3377	3762
473	3379	3750
474	3388	3745
475	3391	3733
476	3399	3727
477	3408	3722
478	3417	3716
479	3425	3711
480	3434	3705
481	3442	3699
482	3451	3694
483	3459	3688
484	3468	3682
485	3476	3677
486	3485	3671
487	3493	3665
488	3502	3659
489	3510	3654
490	3519	3648
491	3527	3642
492	3528	3628
493	3537	3623
494	3545	3617
495	3554	3611
496	3562	3605
497	3567	3596
498	3576	3590
499	3584	3584
500	3593	3578
501	3601	3573
502	3606	3563
503	3615	3557
504	3623	3552
505	3625	3539
506	3628	3528
507	3633	3518
508	3641	3512
509	3650	3506
510	3658	3501
511	3663	3491
512	3672	3485
513	3680	3480
514	3689	3474
515	3697	3468
516	3706	3462
517	3708	3450
518	3716	3444
519	3725	3438
520	3726	3426
521	3735	3420
522	3735	3407
523	3744	3401
524	3753	3395
525	3762	3390
526	3770	3384
527	3779	3378
528	3779	3365
529	3788	3359
530	3796	3353
531	3805	3347
532	3809	3338
533	3811	3325
534	3813	3314
535	3822	3308
536	3830	3302
537	3839	3296
538	3847	3290
539	3856	3285
540	3865	3279
541	3873	3273
542	3882	3267
543	3890	3261
544	3899	3255
545	3908	3249
546	3917	3244
547	3926	3238
548	3935	3232
549	3944	3226
550	3944	3214
551	3947	3203
552	3956	3197
553	3965	3192
554	3967	3181
555	3976	3175
556	3985	3169
557	3994	3163
558	4002	3157
559	4007	3148
560	4016	3142
561	4025	3137
562	4033	3131
563	4042	3125
564	4051	3119
565	4053	3107
566	4061	3101
567	4069	3095
568	4078	3089
569	4079	3077
570	4087	3071
571	4089	3059
572	4097	3053
573	4106	3047
574	4115	3041
575	4123	3035
576	4128	3026
577	4137	3020
578	4146	3015
579	4155	3008
580	4163	3002
581	4172	2996
582	4174	2985
583	4183	2979
584	4192	2974
585	4201	2968
586	4210	2962
587	4215	2953
588	4224	2947
589	4228	2938
590	4231	2928
591	4240	2922
592	4241	2911
593	4250	2905
594	4259	2899
595	4268	2893
596	4276	2887
597	4285	2881
598	4286	2869
599	4295	2863
600	4303	2857
601	4312	2851
602	4321	2845
603	4330	2839
604	4339	2832
605	4347	2826
606	4356	2820
607	4365	2814
608	4373	2808
609	4382	2801
610	4390	2795
611	4399	2789
612	4407	2782
613	4416	2776
614	4424	2769
615	4428	2760
616	4430	2749
617	4438	2743
618	4447	2737
619	4455	2730
620	4463	2724
