ft name, total 0, total 1, 0 & diabetes, 0 & no diabetes, 1 & diabetes, 1 & no diabetes,diabetes + 1 / 1,no diabetes + 1 / 1,diabetes + 0/0,no diabetes + 0/0,
ERYSIPELA lower right limb,2432,1,224,2208,1,0,100%,0%,9%,91%,
DISCIFORM KERATITIS FROM HERPES SIMPLEX,2432,1,224,2208,1,0,100%,0%,9%,91%,
MOUTH CANDIDIASIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
K LONG BONES LOWER LIMB,2432,1,224,2208,1,0,100%,0%,9%,91%,
K CONNECTIVE AND OTHER SOFT TISSUES,2432,1,224,2208,1,0,100%,0%,9%,91%,
Clark's level III TRUNK MELANOMA,2432,1,224,2208,1,0,100%,0%,9%,91%,
K K PELVIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
META LUNG,2432,1,224,2208,1,0,100%,0%,9%,91%,
TB INTESTINAL TRACT,2432,1,224,2208,1,0,100%,0%,9%,91%,
UNCERTAIN TUMOR ADRENAL GLANDS on the left (1 cm),2432,1,224,2208,1,0,100%,0%,9%,91%,
ENDOCRINE GLAND CANCER NATURE UNSPECIFIED,2432,1,224,2208,1,0,100%,0%,9%,91%,
SEVERE OBESITY,2432,1,224,2208,1,0,100%,0%,9%,91%,
PURPLE,2432,1,224,2208,1,0,100%,0%,9%,91%,
INSOMNIA,2432,1,224,2208,1,0,100%,0%,9%,91%,
ACQUIRED HYDROCEPHALUS,2432,1,224,2208,1,0,100%,0%,9%,91%,
PROGRESSIVE SUPRANUCLEAR PARALYSIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
Lumbar spondylogenous myelopathy,2432,1,224,2208,1,0,100%,0%,9%,91%,
PARTIAL EPILEPSY,2432,1,224,2208,1,0,100%,0%,9%,91%,
SEVERE MYASTHENIA,2431,2,223,2208,2,0,100%,0%,9%,91%,
MACULAR DEGENERATION,2432,1,224,2208,1,0,100%,0%,9%,91%,
Simple chronic GLAUCOMA,2432,1,224,2208,1,0,100%,0%,9%,91%,
SENILE CATARACT Interv. of phacoemulsification and implantation,2432,1,224,2208,1,0,100%,0%,9%,91%,
HERPETIC KERATITIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
EYELID PTOSIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
CHRONIC RHEUMATIC VALVULOPATHY,2432,1,224,2208,1,0,100%,0%,9%,91%,
BENIGN ARTERIAL HYPERTENSION,2432,1,224,2208,1,0,100%,0%,9%,91%,
AORTA ATHEROSCLEROSIS,2432,1,224,2208,1,0,100%,0%,9%,91%,
ACQUIRED ARTEROVENOUS FISTULA,2432,1,224,2208,1,0,100%,0%,9%,91%,
NONFILARIAL ELEPHANTYASIS lower limbs,2432,1,224,2208,1,0,100%,0%,9%,91%,
NASAL CAVIT POLYPS?ɂǨ,2432,1,224,2208,1,0,100%,0%,9%,91%,
