,names,posFtNegLbl,posFtPosLbl,negFtNegLbl,negFtPosLbl,elseCase,timing
0,VIRAL GASTROENTERITITIS,1,0,2207,225,0,0.001069784164428711
1,PULMONARY TUBERCULOSIS,2,0,2206,225,0,0.0008649826049804688
2,POT DISEASE,1,0,2207,225,0,0.0008559226989746094
3,TUBERCULOSIS SPINAL COLUMN TESTS NOT KNOWN,1,0,2207,225,0,0.0008718967437744141
4,HIP TUBERCULOSIS,1,0,2207,225,0,0.0008487701416015625
5,STREPTOCOCCAL PHARYNGITIS,1,0,2207,225,0,0.0008361339569091797
6,ERYSIPELA lower right limb,0,1,2208,224,0,0.0008361339569091797
7,ACTINOMYCOTIC LUNG INFECTION,1,0,2207,225,0,0.0008301734924316406
8,HELICOBACTER PYLORI INFECTION,13,0,2195,225,0,0.0008318424224853516
9,HUMAN HIV IMMUNODEFICIENCY VIRUS INFECTION,1,0,2207,225,0,0.0008299350738525391
10,CHICKENPOX,0,0,0,0,2,0.0003058910369873047
11,SHINGLES,41,15,2167,210,0,0.0008759498596191406
12,DISCIFORM KERATITIS FROM HERPES SIMPLEX,0,1,2208,224,0,0.0008401870727539062
13,RUBELLA,6,0,2202,225,0,0.0008299350738525391
14,HEPATITIS A,1,0,2207,225,0,0.0008678436279296875
15,HEPATITIS B,2,0,2206,225,0,0.0008349418640136719
16,CHRONIC VIRAL HEPATITIS B,3,0,2205,225,0,0.0008397102355957031
17,Acute VIRAL HEPATITIS C,1,0,2207,225,0,0.0008440017700195312
18,CHRONIC HEPATITIS C 3rd,18,3,2190,222,0,0.0008320808410644531
19,INFECTIOUS MONONUCLEOSIS,10,0,2198,225,0,0.0008461475372314453
20,Plantar WARTS,1,0,2207,225,0,0.0008447170257568359
21,BUTTON FEVER,1,0,2207,225,0,0.0008308887481689453
22,PRIMARY GENITAL SYPHILIS,1,0,2207,225,0,0.0008392333984375
23,Recurrent non-gonococcal urethritis,1,0,2207,225,0,0.0008499622344970703
24,ONYCOMYCOSIS LEFT TOE,4,0,2204,225,0,0.0008299350738525391
25,TINEA MANUUM,1,0,2207,225,0,0.0008361339569091797
26,TINEA CRURIS,1,0,2207,225,0,0.0008409023284912109
27,DERMATOPHYTOSIS other locations - MYCOSIS - inguinal,1,0,2207,225,0,0.0008308887481689453
28,MYCOSIS,1,0,2207,225,0,0.0008482933044433594
29,OTHER DERMATOMYCOSES others,1,0,2207,225,0,0.0008347034454345703
30,MOUTH CANDIDIASIS,0,1,2208,224,0,0.0008392333984375
31,CANDIDA VULVOVAGINITIS,2,0,2206,225,0,0.0008389949798583984
32,SCABIES,2,0,2206,225,0,0.0008509159088134766
33,SARCOIDOSI,1,0,2207,225,0,0.0008602142333984375
34,K FLOOR MOUTH,1,0,2207,225,0,0.0008628368377685547
35,K ESOPHAGUS,1,1,2207,224,0,0.0008499622344970703
36,K BODY STOMACH,1,0,2207,225,0,0.0008490085601806641
37,K STOMACH,8,5,2200,220,0,0.0008511543273925781
38,K TRANSVERSE COLON,2,0,2206,225,0,0.0008499622344970703
39,K LEFT COLON,2,0,2206,225,0,0.0008640289306640625
40,K SIGMA,3,2,2205,223,0,0.0008418560028076172
41,K RIGHT COLON,2,2,2206,223,0,0.0008578300476074219
42,K COLON,13,3,2195,222,0,0.0008602142333984375
43,K RECTOSIGMOID JUNCTION,1,1,2207,224,0,0.0008378028869628906
44,K RIGHT,6,1,2202,224,0,0.0008399486541748047
45,K PRIMITIVES LIVER,2,0,2206,225,0,0.0008440017700195312
46,K LIVER,3,2,2205,223,0,0.0008831024169921875
47,K HEAD PANCREAS,1,0,2207,225,0,0.0008490085601806641
48,K PANCREAS,4,3,2204,222,0,0.0008709430694580078
49,K LARYNX,2,1,2206,224,0,0.0008509159088134766
50,K BRONCHI,1,1,2207,224,0,0.0008401870727539062
51,K PULMONARY,8,3,2200,222,0,0.0022890567779541016
52,K LONG BONES LOWER LIMB,0,1,2208,224,0,0.001561880111694336
53,K CONNECTIVE AND OTHER SOFT TISSUES,0,1,2208,224,0,0.0009441375732421875
54,Clark's level III TRUNK MELANOMA,0,1,2208,224,0,0.0009150505065917969
55,CUTANEOUS MELANOMA,8,3,2200,222,0,0.0019011497497558594
56,OTHER K SKIN FOREHEAD sarcomatoid carcinoma,1,0,2207,225,0,0.0053789615631103516
57,SPINOCELLULAR EPITHELIOMA,9,0,2199,225,0,0.0014929771423339844
58,K BREAST RIGHT INTERNAL LOWER QUADRANT Interv. of QUART with emptying. armpit cable,1,0,2207,225,0,0.00356292724609375
59,K UPPER-EXTERNAL DIAL OF WOMEN'S BREAST,2,0,2206,225,0,0.0016598701477050781
60,K UDDLE,41,9,2167,216,0,0.002092123031616211
61,K UTERUS,0,0,0,0,2,0.0010728836059570312
62,K EXOCERVIX,1,0,2207,225,0,0.0019173622131347656
63,K CERVIX,2,0,2206,225,0,0.0019807815551757812
64,K BODY OF THE UTERUS EXCEPT LISTMO,2,0,2206,225,0,0.0008978843688964844
65,K OVARY,4,1,2204,224,0,0.0008490085601806641
66,K PROSTATE,0,0,0,0,2,0.00031113624572753906
67,K TESTICLE,0,0,0,0,2,0.0002963542938232422
68,K FORESKIN,1,0,2207,225,0,0.0008518695831298828
69,K PENIS,2,0,2206,225,0,0.00084686279296875
70,K BLADDER TRIGONE,1,0,2207,225,0,0.0008492469787597656
71,K BLADDER,16,2,2192,223,0,0.0008609294891357422
72,K RIGHT KIDNEY,9,1,2199,224,0,0.0008318424224853516
73,K BRAIN,2,0,2206,225,0,0.0008130073547363281
74,K Papillary THYROID,4,4,2204,221,0,0.0008189678192138672
75,K THYROID,2,1,2206,224,0,0.0008409023284912109
76,K K PELVIS,0,1,2208,224,0,0.0008308887481689453
77,META LUNG,0,1,2208,224,0,0.0008251667022705078
78,LIVER METASTASES from K colon,1,1,2207,224,0,0.0008289813995361328
79,BRAIN AND SPINAL CORD METASTASIS,1,0,2207,225,0,0.0008199214935302734
80,NODAL MARGINAL B LYMPHOMA,5,2,2203,223,0,0.0008440017700195312
81,HODGKIN DISEASE CELLULARITY?ɂǨ MIXED,1,0,2207,225,0,0.0008440017700195312
82,HODGKIN'S DISEASE,2,0,2206,225,0,0.0008599758148193359
83,Lymphoma,7,3,2201,222,0,0.0008161067962646484
84,HAIRY CELL LEUKEMIA,1,0,2207,225,0,0.0008120536804199219
85,LYMPHOMA with gastric localization,1,0,2207,225,0,0.0008440017700195312
86,MULTIPLE MYELOMA,1,0,2207,225,0,0.0008268356323242188
87,CHRONIC LYMPHOID LEUKEMIA,2,1,2206,224,0,0.0008320808410644531
88,CHRONIC LYMPHOID LEUKEMIA IN REMISSION,1,0,2207,225,0,0.0008299350738525391
89,ACUTE MYELOID LEUKEMIA,1,0,2207,225,0,0.000843048095703125
90,CHRONIC MYELOID LEUKEMIA,1,0,2207,225,0,0.0008320808410644531
91,ESSENTIAL THROMBOCYTHEMIA,6,1,2202,224,0,0.0008549690246582031
92,OTHER ACUTE LEUKEMIAS ACUTE LYMPHOBLASTIC,1,0,2207,225,0,0.0008330345153808594
93,COLON POLYPS,27,4,2181,221,0,0.0008339881896972656
94,TB INTESTINAL TRACT,0,1,2208,224,0,0.0008249282836914062
95,Inflammatory LIPOMA of the back,1,0,2207,225,0,0.000823974609375
96,UTERUS FIBROMYOMA,1,0,2207,225,0,0.00081634521484375
97,UTERINE FIBROMYOMA,2,0,2206,225,0,0.0008299350738525391
98,UTERUS FIBROMA,1,1,2207,224,0,0.0008158683776855469
99,TB OVARY,1,0,2207,225,0,0.0008251667022705078
100,ADENOMATOUS POLYP with low grade dysplasia of the colon,1,0,2207,225,0,0.0008640289306640625
101,TB CRANIAL NERVES,2,1,2206,224,0,0.000823974609375
102,CEREBRAL MENINGIOMA,5,1,2203,224,0,0.0008590221405029297
103,TB ADRENAL GLANDS,6,2,2202,223,0,0.000820159912109375
104,PITUITARY ADENOMA,2,0,2206,225,0,0.0008299350738525391
105,K IN SITU BREAST,1,1,2207,224,0,0.0008249282836914062
106,UNCERTAIN PAROTID TUMOUR,1,0,2207,225,0,0.0008270740509033203
107,UNCERTAIN PANCREAS CANCER,2,0,2206,225,0,0.00086212158203125
108,MULTIPLE PULMONARY NODULES OF NDD,1,0,2207,225,0,0.0008108615875244141
109,UNCERTAIN TUMOR ADRENAL GLANDS on the left (1 cm),0,1,2208,224,0,0.0008199214935302734
110,NEUROFIBROMATOSIS RECKLINGHAUSEN,1,0,2207,225,0,0.0008189678192138672
111,POLYCYTHEMIA VERA,1,0,2207,225,0,0.0008292198181152344
112,CHRONIC MYELOPROLIFERATIVE DISEASE,3,1,2205,224,0,0.0008337497711181641
113,BREAST NODULE,1,0,2207,225,0,0.0008230209350585938
114,ENDOCRINE GLAND CANCER NATURE UNSPECIFIED,0,1,2208,224,0,0.0008261203765869141
115,Papillary neoplasm on lateral neck cyst,2,0,2206,225,0,0.0008189678192138672
116,GOITER,15,3,2193,222,0,0.0008378028869628906
117,THYROID NODULE,19,4,2189,221,0,0.0008282661437988281
118,NON-TOXIC MULTINODULAR GOITER,91,17,2117,208,0,0.0008199214935302734
119,NON-TOXIC NODULAR GOITER,6,1,2202,224,0,0.0008368492126464844
120,Graves disease,12,1,2196,224,0,0.0008311271667480469
121,TOXIC UNINODULAR GOITER,2,2,2206,223,0,0.000820159912109375
122,Toxic uninodular goiter without thyrotoxic crisis,2,0,2206,225,0,0.0008220672607421875
123,TOXIC MULTINODULAR GOITER,10,4,2198,221,0,0.0008161067962646484
124,TOXIC NODULAR GOITER,2,0,2206,225,0,0.0008330345153808594
125,SUSPENDED HYPERTHYROIDISM Hashitoxicosis,3,0,2205,225,0,0.0008308887481689453
126,CONGENITAL HYPOTHYROIDISM,2,0,2206,225,0,0.0008440017700195312
127,POST-SURGICAL HYPOTHYROIDISM,16,4,2192,221,0,0.0008132457733154297
128,IATROGENIC HYPOTHYROIDISM,1,0,2207,225,0,0.0008289813995361328
129,ACQUIRED HYPOTHYROIDISM OTHER,2,2,2206,223,0,0.0008120536804199219
130,HYPOTHYROIDISM from chronic thyroiditis,46,5,2162,220,0,0.0008170604705810547
131,SUBACUTE THYROIDITIS,2,0,2206,225,0,0.000827789306640625
132,HASHIMOTO THYROIDITIS,47,7,2161,218,0,0.0008220672607421875
133,CHRONIC THYROIDITIS,1,0,2207,225,0,0.0008177757263183594
134,THYROIDITIS,3,0,2205,225,0,0.0008220672607421875
135,THYROID CYSTS,2,0,2206,225,0,0.0008261203765869141
136,HYPERINSULINISM,1,0,2207,225,0,0.0008609294891357422
